# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
Lurking Shadow	숨어있는 그림자
Lurn Five-Pelts	러른 파이브펠츠
Luther Pickman	루서 픽맨
Lwaxana	르왁사나
Lyanna Brown	리안나 브라운
Lycan Portal	리칸 차원문
Lyesa Steelbrow	리사 스틸브라우
Lykourgos the Reaver	리쿠르고스 약탈자
Lylandris	리란드리스
Lyon Mountainheart	리온 마운틴하트
Lyrai	리라이
Lyranne Feathersong	라이란 페더송
Lyrei Silverbrook	릴에이 실벨브르우크
Lyria Du Lac	리리아 뒤 라크
Lysheana	리셰아나
Lysta Bancroft	리스타 밴크로프
M-0L1Y	엠-0L1Y
Ma Stonefield	스톤필드 부인
Ma'ruk Wyrmscale	마룩 웜스케일
Mabel 'The Hook'	"갈고리" 메이벌
Mabel Solaj	마벨 솔라야
Macaw	마코 앵무새
Macey Jinglepocket	메이시 징글포켓
Mad Magglish	광기의 매글리시
Mad Scientist	미치광이 과학자
Mad Servant	광기 어린 종복
Mad Voidwalker	광기어린 보이드워커
Madam Carrow	마담 캐로우
Madame Eva	에바 부인
Maddened Vault Guard	미쳐버린 금고 경비병
Madison	매디슨
Madness Trigger	광기 유발
Maelion Dawnbreaker	마에리온 드오느브르이켈
Maelor Steelguard	마엘로르 스틸가드
Maener Owlgarden	마에넬 오르갈덴
Maethrya	마에스리아
Maeva Snowbraid	마에바 스노우브레이드
Maexxna	맥스나
Maexxna Spiderling	맥스나의 새끼 거미
Maexxna's Hatchling	마엑크나의 새끼
Magar	마가르
Magatha Grimtotem	마가타 그림토템
Mage Hunter	마법사 사냥개
Magenius	마게니우스
Magga	마가
Maggot	구더기
Maggot Eye	구더기눈
Maggran Earthbinder	마그그랜 어스바인더
Maghan	마그안
Magic Broom	마법 빗자루
Magical Broom	마법의 빗자루
Maginor Dumas	마지노르 뒤마
Magis Sparkmantle	마지스 스파크맨틀
Magister Ala'shor Sunblood	마법사 알라쇼르 선블러드
Magister Hawkhelm	마법학자 호크헬름
Magister Kalendris	마법학자 칼렌드리스
Magister Salorn	마법학자 살론
Magister Sylvus Silkspinner	마법학자 실부스 실크스피너
Magistrate Aldous	행정관 올도스
Magistrate Barthilas	집정관 발실라스
Magistrate Bluntnose	집정관 블런트노즈
Magistrate Burnside	집정관 번사이드
Magistrate Burton	치안판사 버턴
Magistrate Carson	치안판사 카슨
Magistrate Henry Maleb	집정관 헨리 말레브
Magistrate Hurdam Toughhand	마깃트라테 훌담 트아우그한드
Magistrate Marduke	집정관 마르듀크
Magistrate Modera	마깃트라테 모데라
Magistrate Sevren	집정관 세브렌
Magistrate Solomon	집정관 솔로몬
Magistrix Ishalah	마지스트릭스 이샬라
Magma Elemental	용암 정령
Magma Lord Bokk	용암 군주 보크
Magma Totem	용암 토템
Magma Totem II	용암 토템 II
Magma Totem III	용암 토템 III
Magma Totem IV	용암 토템 IV
Magmadar	마그마다르
Magmalash Scorpid	막마라시 전갈
Magmar Fellhew	마그마 펠휴
Magmus	마그무스
Magna Runecleave	마그나 룬클리브
Magnus Frostwake	마그누스 프로스트웨이크
Magosh	마고쉬
Magra	마그라
Magram Bonepaw	마그람 하이에나
Magram Marauder	마그람 약탈자
Magram Mauler	마그람 투사
Magram Outrunner	마그람 정찰꾼
Magram Pack Runner	마그람 조련사
Magram Scout	마그람 척후병
Magram Stormer	마그람 번개술사
Magram Windchaser	마그람 바람전사
Magram Wrangler	마그람 사냥꾼
Magrami Spectre	마그람 유령
Magregan Deepshadow	마그레간 딥섀도
Magrin Rivermane	마그린 리버메인
Magronos the Unyielding	고집불통 마그로노스
Magtoor	막투르
Magus Alfred Wartbeard	마법학자 알프렏 알트브이르드
Magus Ariden Dusktower	마법사 아리덴 더스크타워
Magus Bromley	마구스 브롬리
Magus Halister	마법사 할리스터
Magus Orelius	마법사 오렐리우스
Magus Palon	마법사 팔론
Magus Rimtori	학자 림토리
Magus Tirth	학자 틸스
Magus Valgon	마법사 발곤
Magus Wordeen Voidglare	학자 워딘 보이드글레어
Mahani	마하니
Mahnott Roughwound	마흐노트 러프운드
Mahren Skyseer	마렌 스카이시어
Mahu	마후
Mai'ah	마이아
Mai'Lahii	마이라히
Mai'Zoth	마이조스
Maiden's Virtue Crewman	처녀의 순결호 선원
Maiev Shadowsong	마이에브 섀도송
Major Mattingly	상사 매팅리
Major Pakkon	부사령관 팍콘
Major Resonating Crystal	최상급 공명의 수정
Major Samuelson	상사 사무엘슨
Major Yeggeth	부사령관 예게스
Majordomo Executus	청지기 이그젝큐투스
Mak	마크
Makaba Flathoof	마카바 플랫후프
Makaru	마카루
Makasgar	마카스갈
Makrinni Razorclaw	칼날집게 마크리니마크루라
Makrinni Scrabbler	톱니발 마크리니마크루라
Makrinni Snapclaw	집게발 마크리니마크루라
Makrura Clacker	딸깍이 마크루라
Makrura Deepclaw	마크루라 깊은손톱
Makrura Elder	우두머리 마크루라
Makrura Oilclaw	마크루라 오일클로
Makrura Shellhide	등껍질 마크루라
Makrura Siltshell	마크루라 실트껍질
Makrura Snapclaw	집게발 마크루라
Makrura Thresher	마크루라 탈곡기
Maktha	막스아
Makya Hillmoon	마키아 힐르므우느
Mal'adaris	말아다리스
Malagav the Tactician	전술사 말라가브
Malakai Cross	말라카이 크로스
Malanius Silvershine	말라니우스 실버샤인
Malanys Cloudpiercer	말라니스 클라우드피어서
Malcomb Wynn	말콤 린
Maldryn	맬드린
Male Dark Assassin	남성 어둠의암살자
Male Ghost	남자 유령
Male Human Captive	인간 남자 포로
Maleka	말레카
Maleki the Pallid	냉혈한 말레키
Malformed Defias Drone	기괴한 데피아즈단 일꾼
Malfunctioning Arcane Construct	고장 난 비전 피조물
Malfunctioning Arcane Golem	고장 난 비전 골렘
Malfunctioning Knight	고장 난 기사
Malfunctioning Mine-Bot	마인봇 오작동
Malfunctioning Reaver	상태이상의 전투절단기
Malfunctioning Servitor	오작동하는 서비터
Malfurion Stormrage	말퓨리온 스톰레이지
Malgan Windhorn	말간 바람뿔
Malgen Longspear	말겐 롱스피어
Malgin Barleybrew	말긴 발리브루
Malicious Spirit	악에 물든 영혼
Malissa	말리사
Maliynn	말리인
Mallen Swain	말렌 스웨인
Malleville Graeme	말레빌레 그라에메
Mallon The Moontouched	달에 물든 마론
Mally O'Flor	말리 오플로르
Malor	말로르
Malor the Zealous	광신자 말로
Malora Valeheart	말로라 베일하트
Maloran Oakbranch	말로란 오크브랜치
Malorne	마롤네
Malorne Bladeleaf	말로른 블레이드리프
Malos Lunarspear	마로스 루나스피어
Malosh	말로쉬
Maltimor Gartside	말티모어 가트사이드
Maltimor's Prototype	말티모어의 프로토타입
Malton Droffers	말톤 드로퍼스
Maluressian	말루레시안
Malux	말룩스
Malvinah Sunblade	말비나 선블레이드
Malvor	말보르
Malyfous Darkhammer	말리퍼스 다크해머
Malygen	말리젠
Mammoth Shark	맘모스 상어
Mana Affinity	마나 친화
Mana Burst	마나 폭발
Mana Eater	마나먹는 지옥사냥개
Mana Fiend	마나 악령
Mana Hunter	마나 사냥꾼
Mana Remnant	마나 파편
Mana Spring Totem	마나샘 토템
Mana Spring Totem II	마나샘 토템 II
Mana Spring Totem III	마나샘 토템 III
Mana Spring Totem IV	마나샘 토템 IV
Mana Sprite	마나 요정
Mana Stalker	마나 추적자
Mana Surge	마력의 폭풍
Mana Tide Totem	마나 해일 토템
Mana Tide Totem II	마나 해일 토템 II
Mana Tide Totem III	마나 해일 토템 III
Manaclaw	마나발톱
Manacrazed Grell	마나에 미친 그렐
Manahound	마나사냥개
Manascale Dragon Guard	마나비늘 용 경비병
Manascale Drake	마나비늘 비룡
Manascale Ley-Seeker	마나비늘 지맥 -스이켈
Manascale Mageweaver	마나비늘 마게으이벨
Manascale Overseer	마나비늘 감독관
Manascale Suppressor	마나비늘 숩프렛솔
Manascale Whelp	마나비늘 새끼용
Manascape Whelp	마낫카페 새끼용
Mangeclaw	썩은발톱
Mangled Cadaver	짓이겨진 송장
Mangled Corpse	마응렏 시체
Mangletooth	뻐드렁니
Mangorn Flinthammer	맨고른 플린트해머
Mangy Duskbat	병든 그늘박쥐
Mangy Mountain Boar	병든 산돼지
Mangy Nightsaber	병든 흑호
Mangy Silvermane	병든 은빛갈기늑대
Mangy Wolf	병든 늑대
Mani Winterhoof	마니 윈터후프
Manifestation of Water	물의 현신
Mankrik	만크릭
Manloran Dawnstrike	맨로란 던스트라이크
Mannoroc Lasher	만노로크 채찍마녀
Manufactured Golem	마누팍처드 골렘
Maquell Ebonwood	마켈 이본우드
Mara Rennick	마라 레닉
Marandis' Sister	마란디스의 자매
Marat Grimtotem	마라트 그림토템
Marauder King Corthan	약탈자 왕 코르탄
Maraudine Bonepaw	마라우돈 하이에나
Maraudine Khan Advisor	마라우돈 칸 조언가
Maraudine Khan Guard	마라우돈 칸 호위병
Maraudine Marauder	마라우돈 약탈자
Maraudine Mauler	마라우돈 투사
Maraudine Priest	마라우돈 사제
Maraudine Scout	마라우돈 척후병
Maraudine Stormer	마라우돈 번개술사
Maraudine Windchaser	마라우돈 바람전사
Maraudine Wrangler	마라우돈 사냥꾼
Marauding Corpse	약탈자 시체
Marauding Owlbeast	약탈자 올빼미야수
Marauding Skeleton	약탈자 해골
Maraudos	마라우도스
Marcel Dabyrie	마셸 다비리
Marcus	마커스
Marcus Bel	마커스 벨
Marda Weller	마르다 웰러
Mardant Strongoak	마르단트 스트롱오크
Mardrack Greenwell	말드랙 그린웰
Marduk Blackpool	마르두크 블랙풀
Marduk the Black	검은 마르두크
Marek Ironheart	마렉 아이언하트
Marez Cowl	마레즈 코울
Margaret Crawford	말가렛 크로포드
Marge Blackwood	마지 블랙우드
Margella Slatebeard	말겔라 슬레이트비어드
Marglum Blood-eye	마글룸 블러드아이
Margok Hatewind	마르고크 헤이트윈드
Margol the Rager	난폭한 마르골
Margon the Mighty	위대한 마르곤
Margoz	마르고즈
Maria Galwest	마리아 갈웨스트
Maria Lumere	마리아 루미어
Mariah Huckabee	마리아흐 후크압이
Marie Holdston	마리 홀드스턴
Marietta Hooch	마리에타 후치
Mariette Shademore	마리에트 셰이드무어
Marigold Hale	메리골드 헤일
Marin Noggenfogger	마린 노겐포저
Marine Clifftower	해병 클리프타워
Marine Dagby	마린 다그비
Marine Dalus	해병 달루스
Marine Hornby	해병 혼비
Marine Larwell	해병 라웰
Marine Lockside	해양 갑문
Marine Logan	해병 로건
Marion Call	매리언 콜
Maris Granger	매리스 그랑거
Marisa Arello	마리사 아렐로
Marisa du'Paige	마리사 두페이지
Marius the Wise	마리웃 현명한
Marjak Keenblade	마르작 킨블레이드
Marjorie Natheldon	마조리 나셀돈
Mark	마크
Mark Gallagher	징표 갈라그엘
Mark of Detonation (CLS)	폭파 지점 (CLS)
Mark of Detonation (CRS)	폭파 지점 (CRS)
Mark of Detonation (CSH)	폭파 지점 (CSH)
Mark of Detonation (NE)	폭파 지점 (NE)
Mark of Detonation (NESH)	폭파 지점 (NESH)
Mark of Detonation (NW)	폭파 지점 (NW)
Mark of Detonation (SE)	폭파 지점 (SE)
Mark of Detonation (SW)	폭파 지점 (SW)
Markel Smythe	마켈 스마이드
Marksman Rembrandt Olar	명사수 렘브란트 올라르
Markus	마커스
Markus Farwind	말쿳 파윈드
Marla Fowler	말라 파울러
Marlarin	말라린
Marlene Redpath	말레네 레드패스
Marleth Barleybrew	말레스 발리브루
Marli Wishrunner	말리 위시러너
Marlonias Shademoon	말로니아스 섀드문
Marlos Catos	마를로스 카토스
Marlow Neggle	말로우 네글
Marosh the Devious	험상궂은 마로쉬
Marrek Stromnur	마렉 스트롬누르
Marrondra	마론드라
Marrowspike	마로우 첩자크
Marryk Nurribit	마릭 너리빗
Marsh Flesheater	늪지 청소부
Marsh Inkspewer	늪지 먹물쟁이
Marsh Murloc	늪지 멀록
Marsh Oracle	늪지 점쟁이
Marsh Riding Crocolisk	습지 탑승용 악어
Marshal Bluewall	치안대장 블루월
Marshal Dughan	치안대장 더그한
Marshal Greywall	마셜 그레이월
Marshal Haggard	치안대장 해가드
Marshal Magnus Greystone	마샬 매그너스 그레이스톤
Marshal Marris	치안대장 매리스
Marshal Maxwell	치안대장 맥스웰
Marshal McBride	치안대장 맥브라이드
Marshal Redpath	치안대장 레드패스
Marshal Reginald Windsor	치안대장 레지널드 윈저
Marshal Rorin Palepike	야전사령관 로린 파레피케
Marshal Windsor	치안대장 윈저
Marta Finespindle	마사 파인스핀들
Martek the Exiled	망명자 마르텍
Martha Alliestar	마사 알리스타
Martha Strain	탈타 스트레인
Martie Jainrose	마티 제인로즈
Martin Lindsey	마틴 린드시
Martine Tramblay	마틴 트램블레이
Marukai	마루카이
Marven	마벤
Marvon Rivetseeker	마본 리벳시커
Mary Edras	메리 에드라스
Mary Magcub	메리 맥컵
Mary Morris	메리 모리스
Mary Willowfield	마리 일르오프이르드
Marzon the Silent Blade	소리없는검객 마르존
Masat T'andr	마사트 탄드르
Masey Wirefuse	메이시 와이어퓨즈
Masha Swiftcut	마샤 스위프트컷
Massive Geyser	용천수
Massive Infernal	거대한 지옥불정령
Master Apothecary Faranell	수석 연금술사 파라넬
Master Blacksmith Rolfen	거장 대장장이 롤펜
Master Chemist Volterwhite	화학 전문가 볼터화이트
Master Craftsman Omarion	거장 오마리온
Master Digger	우두머리 채굴꾼
Master Elemental Shaper Krixix	수석 원소구현술사 크릭시스
Master Engineer Zinfizzlex	수석기술자 진피즐렉스
Master Feardred	군주 피어드레드
Master Gadrin	장로 가드린
Master Genko	스승 젠코
Master Kang	스승 캉
Master Mathias Shaw	단장 마티아스 쇼
Master Mechanic Castpipe	수석수리공 캐스트파이프
Master Nightsong	수석 연금술사 나이트송
Master Raxxieth	마스터 락시스
Master Sergeant Biggins	하사관 비긴스
Master Sergeant Fizzlebolt	정예근위병 피즐볼트
Master Sergeant Maclure	정예근위병 매클루어
Master Sergeant Moonshadow	정예근위병 문섀도
Master Smith Burninate	수석대장장이 버니네이트
Master Technician Wirespanner	와이어스패너 전문 기술자
Master Vornal	장로 보르날
Master Wood	스승 우드
Masterpiece Harvester	맛텔프이케 수확자
Masterwork Target Dummy	일급 표적 허수아비
Mastok Wrilehiss	마스토크 윌리히스
Mataus the Wrathcaster	분노의 마타우스
Mathias Brightheart	마스이앗 브리그스이르트
Mathiel	메시엘
Mathilda Beckett	마틸다 베켓
Mathredis Firestar	마스레디스 파이어스타
Mathrengyl Bearwalker	마스렌길 베어워커
Mato'gar	마토갈
Matriarch Ohanzee	맛리알치 오한즈이
Matt	매트
Matt Johnson	매트 존슨
Matthew Beckett	매튜 베켓
Matthew Hooper	매튜 후퍼
Matthias Holtz	마티아스 홀츠
Mattie Alred	매티 알레드
Maul'ogg Enforcer	마울로그 집행관
Maur Grimtotem	마우르 그림토템
Maur Raincaller	마우르 레인콜러
Maurin Bonesplitter	마우린 본스플리터
Maury "Club Foot" Wilkins	"절름발이" 마우리 윌킨스
Mavel Brightwood	마벨 브라이트우드
Mavoris Cloudsbreak	마보리스 클라우즈브레이크
Mavralyn	마브라린
Maws	식인아귀
Maxan Anvol	막산 앤볼
Maxima Blastenheimer	맥시마 블라스텐하이머
Maximillian Crowe	맥시밀리언 크로우
Maximillion	맥시밀리언
Maxton Strang	맥스턴 스트랑
Maxwell Givings	맥스웰 기빙스
Maxwort Uberglint	맥스워트 우버글린트
Maya	마야
Mayara Brightwing	마야라 브라이트윙
Maybell Maclure	메이벨 맥클루어
Maybess Riverbreeze	메이베스 리버브리즈
Mayda Thane	마이다 테인
Mayhem	혼돈
Mayor Birkton	므에이올 빌크톤
Mayten Boomrifle	메이튼 붐라이플
Mayva Togview	므에이바 톡브이으
Mayvelle Tonberg	므에이벨레 톤벨그
Maywiki of Zuldazar	줄다자르의 메이위키
Mazen Mac'Nadir	마젠 맥나딜
Mazin Forkblast	마진 포크블라스트
Mazk Snipeshot	마즈크 스나이프샷
Mazoga	마조가
Mazornos	마조르노스
Mazzranache	마즈라나체
McGavan	맥개번
Me'lynn	메린
Mean Ed the Blacksmith	대장장이 민 에드
Mebok Mizzyrix	메보크 미지릭스
Mechanic Kixqal	메치아닉 킥칼
Mechanical Auctioneer	기계 경매인
Mechanical Chicken	기계닭
Mechanical Dragonling	소형 기계용
Mechanical Greench	기계 그린치
Mechanical Horse	기계 말
Mechanical Squirrel	기계 다람쥐
Mechanical Yeti	기계설인
Mechanized Guardian	기계화 수호병
Mechanized Sentry	기계화 보초병
Mechano-Flamewalker	기계화 화염보행전차
Mechano-Frostwalker	기계화 냉기보행전차
Mechano-Rex	메치아노 -렉
Mechano-Tank	기계보행전차
Medic Helaina	간호병 헬라이나
Medic Tamberlyn	간호병 탬버린
Medivh	메디브
Meek Fusemix	미크 퓨즈믹스
Meela Dawnstrider	밀라 돈스트라이더
Meggi Peppinrocker	메지 페핀로커
Meilosh	메일로쉬
Meizu Dirgeheart	메이주 더지하트
Mek Sparkshake	메크 스파크셰이크
Mekgineer Thermaplugg	기계박사 텔마플러그
Mekgineer Trigger	기계박사 트리거
Melanastrasza	멜라나스트라자
Melaniah Belore'Danil	멜라니아 베롤다닐
Melanthe Shadesong	멜란테 셰이드송
Melarith	멜라리스
Meldor Swiftlance	멜돌 스입트란케
Melea	멜레아
Melia	멜리아
Melika Isenstrider	멜리카 아이센스트라이더
Meliri	멜리리
Melisara	멜리사라
Melithar Staghelm	멜리타 스태그헬름
Melizza Brimbuzzle	멜릿자 브림버즐
Melkolar Dawnrise	멜콜라 던라이즈
Melnan Darkstone	멜난 다크스톤
Melonius Silvershine	멜로니우스 실버샤인
Melor Stonehoof	멜로르 스톤후프
Melris Malagan	멜리스 말라간
Melus Ironeye	메룻 이로네이에
Melyndella	멜린델라
Mememgem	밈젬
Menara Voidrender	미네라 보이드렌더
Menethil Elite	메네실 정예병
Menethil Guard	메네실 경비병
Menethil Sentry	메네실 보초병
Mennet Carkad	메넷 칼카드
Meow Meat	고양이 고기
Mephistroth	메프잇트로스
Mercutio	머큐시오
Mercutio Filthgorger	머큐시오 필스고저
Meredith Rutland	메레디스 룻란드
Merelyssa	메렐릿사
Mergothid	멜고스읻
Meri Ironweave	메리 아이언위브
Merideth Carlson	메리데스 칼슨
Meridith the Mermaiden	인어공주 메리디스
Merill Pleasance	메릴 플레전스
Merissa Stilwell	메리사 스틸웰
Merithra Dragon Form	메리스라 용 변신
Merithra of the Dream	꿈의 메리스라
Merithra's Wake	메리스라의 깨어남
Merk Boltratch	메르크 볼트래치
Merok Longstride	메로크 롱스트라이드
Merrin Rockweaver	메린 록위버
Mesa Boar	메사 멧돼지
Mesa Buzzard	절벽대머리수리
Mesa Earth Spirit	고원 대지의 정령
Meshlok the Harvester	정원사 메슬로크
Metahnze Hawkdreamer	메탄제 호크드림어
Methendra Owltalon	메스엔드라 오르타론
Metzen the Reindeer	순록 멧젠
Meven Korgal	메븐 코갈
Mezaji	메자지
Mezzir the Howler	포효의 메찌르
Mhulf Nighthorn	므훌프 니그스올느
Mhurl Coarsehoof	므훌르 코알세흐우프
Mia Hazelsprout	미아 하젤스프르아우트
Miao'zan	미아오잔
Miblon Snarltooth	미블론 스날투스
Micha Yance	미카 얀스
Michael	마이클
Michael Garrett	마이클 가레트
Michelle Belle	미셸 벨르
Mickey Levine	미키 레빈
Midnight	자정
Midsummer Bonfire	한여름 축제 화톳불
Midsummer Bonfire Despawner	한여름 축제 화톳불
Midsummer Celebrant	한여름 축제 축하객
Midsummer Merchant	한여름 축제 상인
Midsummer Merchant Alliance Costume	한여름 축제 상인 얼라이언스 복장
Midsummer Merchant Horde Costume	한여름 축제 상인 호드 복장
Might of Kalimdor Archer	칼림도어 연합군 궁수
Might of Kalimdor Archmage	칼림도어 연합군 대마술사
Might of Kalimdor Captain	칼림도어 연합군 부대장
Might of Kalimdor Druid	칼림도어 연합군 드루이드
Might of Kalimdor Grunt	칼림도어 연합군 그런트
Might of Kalimdor Infantry	칼림도어 연합군 보병
Might of Kalimdor Lieutenant	칼림도어 연합군 부관
Might of Kalimdor Mage	칼림도어 연합군 마법사
Might of Kalimdor Major	칼림도어 연합군 하사관
Might of Kalimdor Marshal	칼림도어 연합군 치안대장
Might of Kalimdor Priest	칼림도어 연합군 사제
Might of Kalimdor Restorer	칼림도어 연합군 복원가
Might of Kalimdor Sergeant	칼림도어 연합군 수호병
Might of Kalimdor Shaman	칼림도어 연합군 주술사
Might of Kalimdor Skirmisher	칼림도어 연합군 척후병
Mijan	마이잔
Mikal Pierce	미칼 피어스
Mike Miller	마이크 밀러
Mikey	혁이
Mikhail	미크헤일
Miles Dexter	마일스 덱스터
Miles Welsh	마일스 웰시
Miley Wildbit	마일리 와일드빗
Milla Fairancora	밀라 페어랜코라
Milli Featherwhistle	밀리 페더휘슬
Millie Gregorian	밀리 그레고리안
Milly Osworth	밀리 오스워스
Milroy Haveshine	밀로이 헤이브샤인
Milstaff Stormeye	밀스타프 스톰아이
Milton Beats	밀턴 비츠
Milton Sheaf	밀턴 시프
Min'tu	민투
Mindless Skeleton	넋 나간 해골
Mindless Undead	넋 나간 언데드
Mindless Zombie	넋 나간 좀비
Mine Spider	굴거미
Miner Axel	광부 악셀
Miner Cromwell	광부 크롬웰
Miner Gill	광부 길
Miner Glaktor	광부 글락토르
Miner Gralwax	광부 그랄왁스
Miner Grothor	광부 그로토르
Miner Grumnal	광부 그룸날
Miner Hackett	광부 하켓
Miner Igglesocket	마이너 이글소켓
Miner Johnson	광부 존슨
Miner Kazzlebucket	마이너 카즐버킷
Miner Miya	광부 미야
Miner Nerik	광부 네릭
Miner Werrywrench	마이너 웨리렌치
Mini Diablo	꼬마 디아블로
Mini Krampus	미니 크람푸스
Miniature Arcane Wyrm	소형 비전 고룡
Mining Foreman Bizzlo	광산 현장 감독 비즐로
Minion of Morganth	모건스의 앞잡이
Minion of Omen	오멘의 부하
Minion of Sethir	세시르의 하수인
Minion of Weavil	위빌의 부하
Minisa Dawlish	미니사 도리시
Minor Anubisath Warbringer	하급 아누비사스 전투병
Minor Arcane Elemental	하급 비전 정령
Minor Infernal	하급 지옥불정령
Minor Manifestation of Air	하급 바람의 현신
Minor Manifestation of Earth	하급 대지의 현신
Minor Manifestation of Fire	하급 불의 현신
Minor Manifestation of Water	하급 물의 현신
Minor Resonating Crystal	최하급 공명의 수정
Minor Silithid Flayer	하급 실리시드 약탈자
Minor Water Guardian	하급 수호정령
Minty	민티
Minx Oggbolt	민크스 오그볼트
Mirabelle Hamilton	미라벨레 하밀톤
Mirador	미라도르
Miralda Nitroblast	미랄다 닛롭랏트
Miralin Wavesinger	미랄린 웨이브싱어
Miran	미란
Miraxx Foulheart	미락크 타락심장
Mire Lord	우두머리 늪괴물
Mirefin Coastrunner	진흙아가미 길잡이
Mirefin Muckdweller	진흙아가미 땅꾼
Mirefin Murloc	진흙아가미 멀록
Mirefin Oracle	진흙아가미 점쟁이
Mirefin Puddlejumper	진흙아가미 보초
Mirefin Warrior	진흙아가미 전사
Miregill Lurker	진흙아가미 룰켈
Miregill Muckdweller	진흙아가미 무크드엘렐
Miregill Murloc	진흙아가미 멀록
Miregill Oracle	진흙아가미 예언자
Mirelle Tremayne	마릴레 트레메인
Mirelow	골구렁
Miriam Lenheim	미리암 렌하임
Mirket	미르켓
Mirkfallon Keeper	땅거미 문지기
Mirvyna Jinglepocket	미르비나 징글포켓
Misguided Naturalist	밋구이덷 나투라릿트
Misha	미샤
Misha Tor'kren	미샤 토크렌
Mishellena	미쉘레나
Mishiki	미시키
Mishta	미쉬타
Miss Danna	다나
Miss Randy	랜디 양
Mist	미스트
Mist Creeper	안개땅거미
Mist Fox	미스트 폭스
Mist Howler	긴울음 안개늑대
Mistbark Hatchling	안개껍질 새끼
Mistbark Spider	안개껍질 거미
Mistbark Webweaver	안개껍질 엡으이벨
Mister Wick	위크 씨
Misthoof Sprinter	안개발굽 질주자
Misthoof Stag	안개발굽 수사슴
Mistina Steelshield	미스티나 스틸실드
Mistress Hesszha	헤샤 여사
Mistress Katalla	여주인 카탈라
Mistress Milandra	여주인 미란드라
Mistress Nagmara	지배인 나그마라
Mistress Natalia Mar'alith	여군주 나탈리아 마랄리스
Mistress of Pain	프에이느의 여주인
Mistvale Gorilla	안개계곡고릴라
Mistwing Ravager	갈퀴발톱 안개날개 키메라
Mistwing Rogue	안개날개 키메라
Misty	밋티
Misty Farwell	미스티 파웰
Mit'szi	밋치
Mitchell Huckabee	밋치엘르 후크압이
Mith'rethis the Enchanter	마법부여사 미스레디스
Mithras Ironhill	미트라 아이언힐
Mithril Dragonling	소형 미스릴 기계용
Mitsuwa	미쑤와
Miya Bloomdale	미야 블룸데일
Mizzle the Crafty	약삭빠른 미즐
Mmrmglul	음름글루
Mo'grosh Brute	모그로쉬 투사
Mo'grosh Enforcer	모그로쉬 집행자
Mo'grosh Mystic	모그로쉬 비술사
Mo'grosh Ogre	모그로쉬 오우거
Mo'grosh Shaman	모그로쉬 주술사
Moam	모암
Mobile Alert System	이동 경보 장치
Moccasin	늪살모사
Modopo	모도포
Mogg	모그
Mogh the Undying	불사신 모그
Mojo Erisen	모조 에리센
Mojo the Twisted	험상궂은 모조
Mok'gun Frostfingers	목군 프롯트피응엘스
Mok'rash	모크라쉬
Mokk the Savage	흉포한 모크
Moktar Krin	목타르 크린
Mokvar	모크바르
Mol'gol	몰골
Molasses	당밀
Molk	몰크
Molly Krueger	몰리 크루거
Molok the Crusher	무쇠주먹 몰로크
Molt Thorn	허물가시
Molten Corehound	화산 심장부 사냥개
Molten Destroyer	파괴의 용암거인
Molten Elemental	녹아내리는 정령
Molten Giant	용암거인
Molten War Golem	뜨겁게 달궈진 전쟁 골렘
Molthor	몰소르
Mongress	몽그레스
Monika Sengutz	모니카 센구츠
Monkey	몬케이
Monnos the Elder	고대의 몬노스
Monster Generator (Blackwing)	몬스터 생성기 (검은날개)
Monstrous Crawler	괴물게
Monstrous Ooze	돌연변이 수액괴물
Monstrous Plaguebat	기괴한 역병박쥐
Montarr	몬타르
Monty	몬티
Moo	음매
Moodan Sungrain	무단 선그레인
Moon Priestess Alunasha	달의 여사제 알루나샤
Moon Priestess Amara	달의여사제 아마라
Moon Rabbit	달토끼
Moonfeather	달깃털
Moonflare Totem	달빛섬광 토템
Moonglade Warden	달숲 집행자
Moonhoof the Younger	달발굽 이아우응엘
Moonkin (Druid - Night Elf)	달빛야수 드루이드 - 나이트 엘프
Moonkin (Druid - Tauren)	달빛야수 드루이드 - 타우렌
Moonkin Oracle	달빛야수 현자
Moonrage Armorer	달분노 대장장이
Moonrage Bloodhowler	달의분노일족 혈투사
Moonrage Darkrunner	달분노 어둠의길잡이
Moonrage Darksoul	달분노 검은영혼
Moonrage Elder	달의분노일족 장로
Moonrage Glutton	달의분노일족 광신도
Moonrage Leatherworker	달분노 가죽세공사
Moonrage Sentry	달의분노일족 보초
Moonrage Tailor	달의분노일족 재봉사
Moonrage Watcher	달의분노일족 정찰꾼
Moonrage Whitescalp	달분노 백발전사
Moonshade Kodo	므우느시아데 코도
Moonsilk Moth	므우느실크 나방
Moonsilk Spinner	므우느실크 스핀넬
Moonstalker	달표범
Moonstalker Matriarch	우두머리 달표범
Moonstalker Runt	새끼 달표범
Moonstalker Sire	덩치 큰 달표범
Moonstrider Fledgling	달길잡이 프렏그리응
Moonstrider Matriarch	달길잡이 맛리알치
Moonstrider Rooster	달길잡이 르우스텔
Moontouched Owlbeast	달빛 깃든 올빼미야수
Moonwell Sentinel	달의 샘 파수꾼
Moonwhisper Elekk	달의속삭임 엘레크
Moonwhisper Moth	달의속삭임 나방
Moora	무라
Moorane Hearthgrain	무레인 하트그레인
Mooranta	무란타
